epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0567,1.54549,1.73085,1.21669,0.79775,0.75106,0.81882,0.44803,1.58454,1.26902,1.20523,0.000553578,0.000553578,0.000553578
2,148.469,1.46355,1.15994,1.1817,0.85742,0.76154,0.84935,0.46724,1.53768,1.00888,1.22156,0.00110849,0.00110849,0.00110849
3,221.656,1.45243,1.08636,1.18802,0.87461,0.77395,0.8562,0.49053,1.49899,0.93901,1.19897,0.0016604,0.0016604,0.0016604
4,295.723,1.44735,1.03532,1.18671,0.85031,0.79694,0.87373,0.52562,1.39922,0.88641,1.17073,0.00165684,0.00165684,0.00165684
5,370.674,1.41338,0.98015,1.17673,0.87991,0.82172,0.89244,0.52359,1.45622,0.83131,1.19142,0.00164897,0.00164897,0.00164897
6,458.325,1.40912,0.94933,1.16853,0.88605,0.83586,0.90974,0.52517,1.46586,0.77827,1.18659,0.00163888,0.00163888,0.00163888
7,544.096,1.38338,0.90358,1.16219,0.9071,0.85709,0.92128,0.55923,1.38626,0.75384,1.15711,0.00162661,0.00162661,0.00162661
8,620.139,1.37713,0.8915,1.1512,0.90197,0.82532,0.90859,0.55491,1.36529,0.74243,1.15005,0.00161219,0.00161219,0.00161219
9,702.721,1.38142,0.88476,1.15566,0.88215,0.84933,0.91139,0.54564,1.39653,0.83766,1.1575,0.00159566,0.00159566,0.00159566
10,784.077,1.37142,0.88329,1.15368,0.90436,0.87025,0.93091,0.55914,1.39776,0.70758,1.16494,0.00157706,0.00157706,0.00157706
11,872.918,1.34756,0.84868,1.14299,0.90455,0.85671,0.92304,0.56406,1.38198,0.7471,1.16274,0.00155645,0.00155645,0.00155645
12,953.614,1.3574,0.84818,1.15133,0.9,0.84963,0.9125,0.55413,1.36323,0.70633,1.15193,0.00153388,0.00153388,0.00153388
13,1031.76,1.34818,0.82754,1.14095,0.90701,0.86549,0.9294,0.5598,1.36816,0.67454,1.1523,0.00150941,0.00150941,0.00150941
14,1113.46,1.33583,0.82373,1.13383,0.91156,0.85234,0.92475,0.57719,1.32806,0.67278,1.13777,0.00148311,0.00148311,0.00148311
15,1190.46,1.32823,0.81746,1.13397,0.91226,0.85733,0.93266,0.56995,1.37042,0.66329,1.14471,0.00145505,0.00145505,0.00145505
16,1271.49,1.32181,0.80007,1.13513,0.91249,0.8582,0.93155,0.5711,1.33403,0.67464,1.1338,0.00142531,0.00142531,0.00142531
17,1353.16,1.33172,0.80105,1.1314,0.91034,0.88479,0.94178,0.58404,1.31599,0.65645,1.13164,0.00139398,0.00139398,0.00139398
18,1430.66,1.32048,0.7864,1.12522,0.91305,0.8945,0.93763,0.58889,1.31647,0.63745,1.12201,0.00136113,0.00136113,0.00136113
19,1510.57,1.31269,0.78259,1.13324,0.92081,0.87179,0.93753,0.56235,1.38997,0.65156,1.16139,0.00132685,0.00132685,0.00132685
20,1584.91,1.29917,0.77325,1.11918,0.91626,0.89,0.94447,0.59488,1.31087,0.61583,1.12065,0.00129125,0.00129125,0.00129125
21,1665.21,1.30551,0.76775,1.12713,0.91111,0.88411,0.94267,0.5887,1.32342,0.62128,1.12699,0.00125442,0.00125442,0.00125442
22,1744.44,1.29744,0.75934,1.12526,0.92237,0.88442,0.9414,0.58298,1.3521,0.61241,1.1418,0.00121645,0.00121645,0.00121645
23,1822.93,1.29018,0.76344,1.12302,0.92997,0.87938,0.94009,0.58818,1.33063,0.61208,1.13607,0.00117746,0.00117746,0.00117746
24,1900.07,1.28602,0.74201,1.11464,0.9156,0.89262,0.94733,0.59591,1.29618,0.62465,1.12063,0.00113755,0.00113755,0.00113755
25,1972.21,1.28549,0.74508,1.11747,0.90953,0.89676,0.94726,0.60173,1.29374,0.59429,1.11993,0.00109683,0.00109683,0.00109683
26,2046.79,1.28742,0.73766,1.11172,0.91437,0.88844,0.94458,0.57972,1.31449,0.61381,1.13036,0.0010554,0.0010554,0.0010554
27,2123.39,1.26924,0.72871,1.10755,0.9196,0.89475,0.9508,0.60559,1.28912,0.57953,1.11916,0.0010134,0.0010134,0.0010134
28,2198.42,1.27125,0.72419,1.11029,0.92543,0.89619,0.94714,0.60623,1.27405,0.57752,1.11544,0.000970919,0.000970919,0.000970919
29,2271.41,1.27957,0.72785,1.11147,0.92046,0.89874,0.94532,0.59807,1.30976,0.58,1.12481,0.000928088,0.000928088,0.000928088
30,2344.97,1.26915,0.71583,1.10537,0.92611,0.8916,0.95294,0.60885,1.28433,0.58561,1.11682,0.000885021,0.000885021,0.000885021
31,2421.38,1.26247,0.70454,1.10577,0.92778,0.89806,0.94448,0.60849,1.27267,0.56339,1.11239,0.000841835,0.000841835,0.000841835
32,2496.76,1.25172,0.69842,1.09845,0.93681,0.89313,0.94907,0.61414,1.26901,0.56081,1.1105,0.000798649,0.000798649,0.000798649
33,2578.28,1.24913,0.70156,1.09898,0.92921,0.90384,0.95262,0.61009,1.28917,0.56703,1.11453,0.000755582,0.000755582,0.000755582
34,2654.51,1.24199,0.69022,1.09782,0.92356,0.90205,0.9524,0.60801,1.29207,0.57069,1.11394,0.000712751,0.000712751,0.000712751
35,2733.83,1.24281,0.68323,1.09772,0.92633,0.90599,0.95132,0.61623,1.25282,0.55102,1.10107,0.000670274,0.000670274,0.000670274
36,2816.8,1.23886,0.68613,1.09498,0.92911,0.90355,0.95539,0.61774,1.25888,0.54289,1.10442,0.000628267,0.000628267,0.000628267
37,2896.21,1.23412,0.67619,1.09563,0.93024,0.90487,0.95317,0.61589,1.2697,0.54671,1.11152,0.000586845,0.000586845,0.000586845
38,2972.66,1.22682,0.67323,1.08887,0.9321,0.90728,0.95393,0.62019,1.25631,0.54603,1.10558,0.000546122,0.000546122,0.000546122
39,3052.03,1.21968,0.6615,1.08356,0.93653,0.90215,0.95321,0.62144,1.24593,0.53401,1.10108,0.00050621,0.00050621,0.00050621
40,3128.9,1.22084,0.65452,1.08484,0.93346,0.90965,0.95357,0.61537,1.26808,0.53759,1.10452,0.000467218,0.000467218,0.000467218
41,3208.06,1.21773,0.65801,1.08271,0.92849,0.90733,0.95372,0.62459,1.24004,0.53136,1.09634,0.000429253,0.000429253,0.000429253
42,3293.61,1.20306,0.64118,1.07743,0.92704,0.91536,0.95539,0.6223,1.25152,0.53225,1.09973,0.000392418,0.000392418,0.000392418
43,3375.78,1.21262,0.65859,1.08436,0.93315,0.90855,0.95035,0.62219,1.24328,0.53121,1.0964,0.000356815,0.000356815,0.000356815
44,3463.74,1.21012,0.63945,1.08049,0.92531,0.91628,0.95424,0.6235,1.23934,0.53296,1.09614,0.000322542,0.000322542,0.000322542
45,3552.4,1.20127,0.63168,1.07128,0.92503,0.91315,0.95411,0.61963,1.24702,0.52831,1.09681,0.000289692,0.000289692,0.000289692
46,3646.74,1.20117,0.63522,1.07477,0.93287,0.90825,0.9529,0.62127,1.24916,0.5258,1.09943,0.000258355,0.000258355,0.000258355
47,3747.05,1.19639,0.62909,1.07169,0.9261,0.91444,0.95595,0.62465,1.24021,0.51992,1.09444,0.000228618,0.000228618,0.000228618
48,3847.93,1.18939,0.62536,1.07181,0.92608,0.91771,0.95332,0.62708,1.234,0.51566,1.0896,0.000200561,0.000200561,0.000200561
49,3945.76,1.18656,0.62144,1.06997,0.92571,0.9156,0.95254,0.62786,1.22997,0.51728,1.08987,0.000174262,0.000174262,0.000174262
50,4044.99,1.18174,0.61977,1.06977,0.93102,0.91518,0.9541,0.62704,1.22737,0.5107,1.08946,0.000149793,0.000149793,0.000149793
51,4186.9,1.14201,0.50943,1.06144,0.92963,0.91227,0.95442,0.62429,1.23684,0.51465,1.0938,0.000127221,0.000127221,0.000127221
52,4283.23,1.13581,0.50376,1.05774,0.92893,0.91073,0.95483,0.62356,1.23517,0.51149,1.09299,0.000106608,0.000106608,0.000106608
53,4385.2,1.12666,0.4934,1.05265,0.92144,0.91793,0.95615,0.62878,1.22054,0.50651,1.08708,8.80093e-05,8.80093e-05,8.80093e-05
54,4489.82,1.12614,0.49424,1.05293,0.92624,0.91218,0.95561,0.62595,1.22569,0.50716,1.08745,7.14771e-05,7.14771e-05,7.14771e-05
55,4593.42,1.12243,0.49152,1.05086,0.93651,0.907,0.95457,0.62484,1.23372,0.50745,1.09055,5.70564e-05,5.70564e-05,5.70564e-05
